,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
152543,76551,Takeshi Matsuda,Male,24.0,184.0,84.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Butterfly,Bronze
152545,76551,Takeshi Matsuda,Male,28.0,184.0,84.0,Japan,JPN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Butterfly,Bronze
152546,76551,Takeshi Matsuda,Male,28.0,184.0,84.0,Japan,JPN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
152547,76551,Takeshi Matsuda,Male,32.0,184.0,84.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
152605,76576,Kaori Matsumoto,Female,24.0,163.0,57.0,Japan,JPN,2012 Summer,2012,Summer,London,Judo,Judo Women's Lightweight,Gold
152606,76576,Kaori Matsumoto,Female,28.0,163.0,57.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Lightweight,Bronze
152612,76581,Ryutaro Matsumoto,Male,26.0,168.0,60.0,Japan,JPN,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
152647,76600,Tomohiro Matsunaga,Male,28.0,163.0,55.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
152706,76625,Misaki Matsutomo,Female,24.0,160.0,50.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Women's Doubles,Gold
152712,76630,Daisuke Matsuzaka,Male,23.0,182.0,85.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Bronze
152716,76633,Andreas Matt,Male,27.0,192.0,100.0,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Men's Ski Cross,Silver
152722,76635,Mario Matt,Male,34.0,190.0,90.0,Austria,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,Gold
152741,76644,Bethanie Lynn Mattek-Sands,Female,31.0,168.0,66.0,United States-2,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Mixed Doubles,Gold
152743,76645,Coline Mattel,Female,18.0,165.0,57.0,France,FRA,2014 Winter,2014,Winter,Sochi,Ski Jumping,"Ski Jumping Women's Normal Hill, Individual",Bronze
